[2026-05-20 09:40:56.325157] HTTP_FLOOD | SRC=172.20.10.2 PORT=443 PPS=351
[2026-05-20 09:41:17.130230] ZERO_DAY | SRC=41.186.181.33 ANOMALY max_z=84.32 [byte_count=681924.0(z=12.5), udp_count=538.0(z=84.32), avg_pkt_size=1267.5(z=7.65)]
[2026-05-20 09:41:18.079205] ZERO_DAY | SRC=57.144.138.192 ANOMALY max_z=35.46 [byte_count=282586.0(z=5.11), udp_count=227.0(z=35.46), avg_pkt_size=1031.3(z=6.14)]
[2026-05-20 09:41:28.084636] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=141.19 [byte_count=278625.0(z=5.04), unique_dsts=15.0(z=8.86), udp_count=900.0(z=141.19)]
[2026-05-20 09:41:28.096805] ZERO_DAY | SRC=41.186.180.33 ANOMALY max_z=215.19 [byte_count=1715365.0(z=31.62), udp_count=1371.0(z=215.19), avg_pkt_size=1251.2(z=7.54)]
[2026-05-20 09:53:32.664432] HTTP_FLOOD | SRC=172.20.10.2 PORT=443 PPS=351
[2026-05-20 09:53:58.241859] ZERO_DAY | SRC=57.144.139.32 ANOMALY max_z=338.52 [pkt_count=6071.0(z=6.19), byte_count=14485656.0(z=267.88), udp_count=2156.0(z=338.52), avg_pkt_size=2386.0(z=14.76)]
[2026-05-20 09:54:15.163436] HTTP_FLOOD | SRC=172.20.10.2 PORT=443 PPS=351
[2026-05-20 09:54:18.242896] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=75 PPS=3501
[2026-05-20 09:54:18.581658] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=75 PPS=3810
[2026-05-20 09:54:18.984047] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=75 PPS=3809
[2026-05-20 09:54:28.250278] ZERO_DAY | SRC=57.144.139.32 ANOMALY max_z=48.66 [byte_count=398671.0(z=7.26), udp_count=311.0(z=48.66), avg_pkt_size=1211.8(z=7.29)]
[2026-05-20 09:54:29.424931] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=75 PPS=3815
[2026-05-20 09:54:29.709575] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=75 PPS=3808
[2026-05-20 09:54:35.239903] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=75 PPS=3793
[2026-05-20 09:57:58.287631] ZERO_DAY | SRC=57.144.139.32 ANOMALY max_z=31.38 [byte_count=277293.0(z=5.01), udp_count=201.0(z=31.38), avg_pkt_size=1127.2(z=6.75)]
[2026-05-20 10:00:15.543971] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=84 PPS=3501
[2026-05-20 10:00:15.823604] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=84 PPS=3602
[2026-05-20 10:00:15.931575] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=84 PPS=3608
[2026-05-20 10:00:16.240756] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=84 PPS=3807
[2026-05-20 10:00:16.927333] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=84 PPS=3890
[2026-05-20 10:00:16.994595] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=84 PPS=3876
[2026-05-20 10:00:17.027800] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=84 PPS=3877
[2026-05-20 10:00:18.271999] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=84 PPS=3909
[2026-05-20 10:00:19.148601] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=84 PPS=3948
[2026-05-20 10:00:20.015841] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=84 PPS=3502
[2026-05-20 10:00:30.652028] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=86 PPS=3501
